timestamp,virtual_ip_port,request_success,response_time_ms,h1_state,h2_state,h3_state,active_host_detected
1762628155.803111,10.0.0.100:80,1,4,ACTIVE,LOW_POWER,LOW_POWER,10.0.0.1
1762628160.8266068,10.0.0.100:80,1,8,ACTIVE,LOW_POWER,LOW_POWER,10.0.0.1
1762628165.8457832,10.0.0.100:80,1,9,ACTIVE,LOW_POWER,LOW_POWER,10.0.0.1
1762628170.8751392,10.0.0.100:80,1,9,ACTIVE,LOW_POWER,LOW_POWER,10.0.0.1
1762628175.902595,10.0.0.100:80,1,9,ACTIVE,LOW_POWER,LOW_POWER,10.0.0.1
1762628180.9317737,10.0.0.100:80,1,13,ACTIVE,LOW_POWER,LOW_POWER,10.0.0.1
1762628185.964337,10.0.0.100:80,1,9,ACTIVE,LOW_POWER,LOW_POWER,10.0.0.1
1762628190.9954944,10.0.0.100:80,1,8,ACTIVE,LOW_POWER,LOW_POWER,10.0.0.1
1762628196.0194712,10.0.0.100:80,1,9,ACTIVE,LOW_POWER,LOW_POWER,10.0.0.1
1762628201.0477066,10.0.0.100:80,1,8,ACTIVE,LOW_POWER,LOW_POWER,10.0.0.1
1762628206.0742245,10.0.0.100:80,1,8,ACTIVE,LOW_POWER,LOW_POWER,10.0.0.1
1762628211.1050243,10.0.0.100:80,1,6,ACTIVE,LOW_POWER,LOW_POWER,10.0.0.1
